station_name,distance
Green Park,10.286175027569609
Highbury and Islington,10.338450659304348
St Pancras,10.348498420117831
Goodge Street,10.360266060648767
Oxford Circus,10.49563669643337
Norwood Junction,10.538228131253161
Arena,10.57129108381295
Clapham South,10.64283960762269
Caledonian Road and Barnsbury,10.645294031387047
Belvedere,10.652312846017338
Stoke Newington,10.692684086097772
Euston,10.694576384740062
Euston Square,10.694576384740062
Warren Street,10.774036528245821
Wanstead,10.800185405506712
Hyde Park Corner,10.830478894864607
Sloane Square,10.895266607397526
Streatham,10.909929989166308
Drayton Park,10.954748826417894
West Wickham,10.96405939191088
Bond Street,11.004627583573914
Becontree,11.06158517193683
Great Portland Street,11.08443936527907
Caledonian Road,11.15122732261071
Bexley,11.16411066889272
Regents Park,11.17134952182022
Woodside,11.214521638343532
Redbridge,11.229812045254281
Holloway Road,11.269418418507493
Balham,11.289997331071616
Barnehurst,11.301402820995284
Dagenham Dock,11.337506743387824
Mornington Crescent,11.347497208614293
Knightsbridge,11.35226192328947
Thornton Heath,11.363505474946214
Petts Wood,11.365312786634833
Snaresbrook,11.376665359556156
Norbury,11.381041169165806
Arsenal,11.403409798644443
Walthamstow Queens Road,11.461890617632337
St James Street,11.4632439584787
Selhurst,11.517568751909124
Streatham Common,11.53623994356348
Seven Kings,11.539223128188214
Hayes,11.560963503401632
Walthamstow Central,11.58952346065515
Marble Arch,11.594418495056155
Blackhorse Lane,11.60042511925127
Gants Hill,11.734210057544585
Stamford Hill,11.800070296260287
Camden Road,11.841181047167364
Baker Street,11.863584191606662
Wandsworth Common,11.880249237713105
Clapham Junction,11.881597032040597
Camden Town,11.904911875311752
Wood Street,11.917733907434272
Finsbury Park,11.94931777011738
St Mary Cray,12.021913207869348
Tooting Bec,12.051151420566304
Manor House,12.096297095001518
Erith,12.104579531896961
South Kensington,12.11679134200998
Blackhorse Road,12.123893551686354
Addiscombe,12.177096383072
Marylebone,12.249267603479597
South Tottenham,12.258134557928617
Dagenham Heathway,12.339171990380374
Goodmayes,12.377477381514556
Newbury Park,12.399569034405587
Edgware Road (Circle/District/Hammersmith and City),12.417066373501296
Kentish Town,12.461625041371029
Kentish Town West,12.570848573071999
Seven Sisters,12.576665682008949
South Woodford,12.614593021830292
Edgware Road (Bakerloo),12.628315224271105
Lancaster Gate,12.634282205994813
Imperial Wharf,12.63795237327344
Tottenham Hale,12.75178139982102
Paddington,12.770532314980306
Tufnell Park,12.78211820101819
Gloucester Road,12.783314094794077
Harringay Green Lanes,12.790515909838572
Sandilands,12.800065229313711
Chalk Farm,12.811378025190177
Crayford,12.869065151936018
Upper Holloway,12.910713946585094
Tooting,12.946959956866587
Lebanon Road,12.992115037783737
Crouch Hill,13.014478967999418
Tooting Broadway,13.031457129049372
Harringay,13.072172020549088
Wandsworth Town,13.142378845243563
East Croydon,13.163875118159588
West Croydon,13.249004899511979
Mitcham Eastfields,13.255272173754722
Slade Green,13.29435547988588
Chadwell Heath,13.307973119809915
Orpington,13.318741788046253
Barkingside,13.331856300542166
Archway,13.348647752591031
Queensway,13.39003969972454
Wellesley Road,13.390688714093606
Gospel Oak,13.421118107211727
High Street Kensington,13.437610662259733
Bayswater,13.470615546780214
Earls Court,13.484824006006624
St. Johns Wood,13.497720493233423
Fulham Broadway,13.50727282806078
Warwick Avenue,13.528082868970813
West Brompton,13.53364794920888
George Street,13.567046767350352
Dagenham East,13.573579716669178
Centrale,13.579844144701921
Earlsfield,13.586579318531594
Bruce Grove,13.620484670021215
